alpha,alpha_idx,lam,rho,MSE_mean,MSE_std,label_err_mean,label_err_std,label_err_mean_noise,label_err_std_noise,train_data_mean,train_reg_mean,train_total_mean
1.4314285714285715,0,0.001,1.0,8.611103415489197,0.1346467802814197,0.0075281726360321,0.0002066592238855,0.0356673025131225,0.0007344171147163,0.1392224334716796,0.0086215462684631,0.1478439797401428
1.4314285714285715,0,0.0002,1.0,16.105700612068176,0.283582901682095,0.0120482357501983,0.0002342611166674,0.0396018514633178,0.0005909347874576,0.1364371452331542,0.0032231191158294,0.1396602643489837
1.4314285714285715,0,0.0005,1.0,11.96770691871643,0.2212500930418976,0.0096319863796234,0.0002322661612222,0.0377797155380249,0.0007111370820845,0.1384091522216796,0.0059889702558517,0.1443981224775314
1.4314285714285715,0,0.0001,1.0,18.014927983284,0.4343431374121766,0.0129595897197723,0.0004036588715109,0.0409760938644409,0.0010990027737034,0.1362383468627929,0.0018026155352592,0.1380409623980522
1.5735714285714286,0,0.1,1.0,0.0526047027669847,0.0010189445934271,9.70509633421898e-05,1.0832079555801145e-05,0.028322871017456,0.0004290639560266,0.2106009963989258,0.0045819718837738,0.2151829682826996
1.5735714285714286,0,0.001,1.0,8.129855394363403,0.169280526354802,0.0070631168365478,0.0001988445450251,0.0352091386795043,0.0009473992937148,0.1588901153564453,0.008141930770874,0.1670320461273193
1.5735714285714286,0,0.0002,1.0,14.058250188827516,0.2876085906323908,0.0106354112625122,0.00022487143886,0.0384893198013305,0.0005927684889012,0.1567315444946289,0.0028146215200424,0.1595461660146713
1.5735714285714286,0,0.0005,1.0,10.92253404855728,0.2213239833688279,0.0089603756427764,0.000256236869308,0.0370863309860229,0.0007931274725944,0.1577839958190918,0.0054674340724945,0.1632514298915863
1.5735714285714286,0,0.0001,1.0,15.63726258277893,0.2947499458118232,0.011411907339096,0.0003874158937218,0.0395357358932495,0.0008531007366924,0.1560167961120605,0.0015649363875389,0.1575817324995994
1.715714285714286,0,0.1,1.0,0.0559887760318815,0.0009568259547873,0.0001015170466154,6.276179404768595e-06,0.0279175357818603,0.0004988245672454,0.2300968353271484,0.0049397381305694,0.2350365734577179
1.715714285714286,0,0.001,1.0,7.680264323949814,0.1157481732281054,0.0066131115436553,0.0001936342143944,0.034659572982788,0.000669351107766,0.1792024017333984,0.0076891875267028,0.1868915892601013
1.715714285714286,0,0.0002,1.0,12.562790513038635,0.2188106203570958,0.00960615401268,0.0002459474035221,0.037312713432312,0.0006413902411285,0.1769245140075683,0.0025146266937255,0.1794391407012939
1.715714285714286,0,0.0005,1.0,10.071801781654358,0.1513295356702461,0.0081080818653106,0.0002512806387623,0.0358772426605224,0.0006740455263141,0.1771614700317383,0.0050402250289916,0.1822016950607299
1.715714285714286,0,0.0001,1.0,13.747276604175568,0.3127374747278608,0.0101210299968719,0.0002708896114718,0.038159764099121,0.0005895176050732,0.1762758392333984,0.0013758430838584,0.1776516823172569
1.857857142857143,0,0.1,1.0,0.0580684805754572,0.0013292663131413,9.662270434200763e-05,1.0001732838331558e-05,0.0281132848739624,0.0004375005556685,0.2494156036376953,0.0052303961038589,0.2546459997415543
1.857857142857143,0,0.001,1.0,7.238160252571106,0.1202514789946714,0.0062837170124053,0.0001770025412782,0.0343120519638061,0.0006857491013614,0.1984325088500976,0.0072482322692871,0.2056807411193847
1.857857142857143,0,0.0002,1.0,11.262199103832245,0.1956198394677051,0.0086855585098266,0.0001961010601299,0.0367948844909667,0.0004762778380406,0.1964975364685058,0.002255085670948,0.1987526221394538
1.857857142857143,0,0.0005,1.0,9.265585958957672,0.1753401368395633,0.0075497416019439,0.0001848970463208,0.0357474224090576,0.0007440315704399,0.1976313949584961,0.0046380870580673,0.2022694820165634
1.857857142857143,0,0.0001,1.0,12.073063552379608,0.1835377437503231,0.0091440294742584,0.000167580817785,0.0368167150497436,0.0007415428918651,0.1966299163818359,0.0012085202813148,0.1978384366631508
2.0,0,0.1,1.0,0.0612035207450389,0.0008728372576025,0.000104731618613,8.595103505643265e-06,0.0278653377532959,0.000431661416331,0.2687000274658203,0.0055156343698501,0.2742156618356705
2.0,0,0.001,1.0,6.824186265468597,0.1291229245514306,0.0059040043115615,0.0002114021113971,0.0336008087158203,0.0008977298707821,0.2183320755004882,0.0068338235378265,0.2251658990383148
2.0,0,0.0002,1.0,10.213604271411896,0.1969286405921264,0.0078192141532897,0.0002050843592083,0.0357587411880493,0.0006241857941816,0.2161952423095703,0.0020447417736053,0.2182399840831756
2.0,0,0.0005,1.0,8.559434235095978,0.1187121546939385,0.0069884919643402,0.0001918580573644,0.034946746635437,0.0007753311429878,0.2169209808349609,0.0042855761051177,0.2212065569400787
2.0,0,0.0001,1.0,10.871813416481018,0.2554709398980243,0.0083295737743377,0.0002415169686425,0.036234256362915,0.0007129471995752,0.2158409973144531,0.0010881908953189,0.2169291882097721
